iter	Passed	Remaining
0	1	133
1	2	122
2	3	117
3	5	126
4	6	124
5	7	120
6	8	117
7	9	114
8	11	111
9	12	109
10	13	109
11	14	106
12	15	103
13	16	100
14	17	99
15	18	97
16	19	95
17	20	93
18	21	90
19	22	88
20	22	86
21	23	84
22	24	82
23	25	80
24	26	78
25	26	76
26	27	74
27	28	73
28	29	71
29	29	69
30	30	68
31	31	66
32	32	65
33	32	63
34	33	62
35	34	60
36	35	59
37	35	58
38	36	56
39	37	55
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	41	48
46	41	47
47	42	45
48	43	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	38
55	48	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	63	17
78	64	17
79	65	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	77	1
98	78	0
99	79	0
